"id","intern nummer","machinenummer","type","merk","model","serienummer","bouwjaar","keuringsrapporten","verhuurregels","status"
"b7fd98a4-65cd-4006-b6c1-8255c51ab77e","","AJN88198/04","heftruck_reachtruck","Unicarriers","A/160SDTFVJN530","AJN88198/04","2013","1","0","available"
"e4d3b1c6-42e0-4bd4-b627-6172d9a098ef","ARB uitvoering","ARB uitvoering","batterij_lader","Axima","HF lader","337060","2013","2","0","available"
"83bea5b1-88ff-418f-84b5-06b3504b18a3","","Arjen Miedema","graafmachine","Arjen Miedema","Arjen Miedema","Arjen Miedema","","3","0","available"
"ede37ae7-5be2-47a5-808e-b664d7775421","B450T010703H","B450T010703H","batterij_lader","Hawker","Traktie 4pzs460","B450T010703H","2010","1","0","available"
"47580ddb-26aa-4314-a236-fd8ab0acde46","","B875B21285J","heftruck_reachtruck","Yale","Glp25vx","B875B21285J","2011","1","0","available"
"d251988b-f9bb-4180-bbbf-b56c7bfedb91","","CF14F-52486","heftruck_reachtruck","Mitsubishi","FD35NT","CF14F-52486","2016","1","0","available"
"e67e40d5-f1d5-4743-9d50-5e93ef1e357e","","D177B31734T","heftruck_reachtruck","Hyster","H3.00XM","D177B31734T","1996","1","0","available"
"b408283b-9d8a-41b9-ac4d-1810f246aca9","","E701348","heftruck_reachtruck","Nissan","UGD02A30Q","E701348","2004","2","0","available"
"750af097-372e-47ca-a4bc-2c4af52e115e","E723340","E723340","batterij_lader","Hawker","Traktie 6pzs","E723340","2009","2","0","available"
"037b864c-19ba-4406-8af1-c4a52badbd45","F24528B00141","F24528B00141","batterij_lader","Cel.","Traktie 2pl250","F24528B00141","2011","1","0","available"
"73e5de94-534e-4ae4-9c1c-074ebceee20e","","FD02A25Q","heftruck_reachtruck","Nissan","FD02A25Q","FD02A25Q","2007","1","0","available"
"16dcd6f3-9cf4-40f2-b612-5a0be5aed5ed","G1N1E723340","G1N1E723340","batterij_lader","Axima","HF lader","340022","2009","2","0","available"
"da78f237-5435-4627-971a-86bcbdaa23c0","G1X336P50282 WISSELBATTERIJ","G1X336P50282 WISSELBATTERIJ","batterij_lader","Sun","Traktie","G1X336P50282 WISSELBATTERIJ","2003","1","0","available"
"12761049-54ba-4439-b535-613453fbb23a","","G1X336T50851","heftruck_reachtruck","Linde E25","336 E25S","G1X336T50851","2006","1","0","available"
"250639d8-80a5-4747-ac83-849add14df98","G1X336U50342","G1X336U50342","batterij_lader","Midac","5Pzs775","G1X336U50342","2007","1","0","available"
"0731467f-a304-4549-8697-1f621a999872","","Greydanus Aardappelhandel en transport bv Heerenveen - Opslag palletstelling - palletstellingen - 2022-01-20","stellingmateriaal","Stow","palletstellingen","","2021","2","0","available"
"5a210ab8-ff1b-411d-a884-325d352b06f9","","GS3014C-15734","hoogwerker","Genie","GS1932","GS3014C-15734","2014","1","0","available"
"f6ac0d4b-8a3c-4920-aab9-0e6386a686ee","","GS6805-43438","hoogwerker","Genie","GS2668","GS6805-43438","2005","1","0","available"
"45485c5d-4b63-4d52-a42e-6ca3a36d369a","","GS6807-49308","hoogwerker","Genie","GS2668","GS6807-49308","2007","1","0","available"
"e2573e57-8e0b-4c37-a4ce-a1a18cd8c823","Gtx162 0955 9675","Gtx162 0955 9675","batterij_lader","Eternity","Traktie 5Pzs","Gtx162 0955 9675","2010","1","0","available"
"a77dee19-f73f-4b9b-a650-0a99600e1b3a","","H21202L02436","heftruck_reachtruck","Linde","H30D-01","H21202L02436","2022","1","0","available"
"00f95ee5-3870-49ed-b1e1-302105037dc5","H2X286F00220","H2X286F00220","batterij_lader","Batterijbv","Traktie 5 pzs","H2X286F00220","2015","1","0","available"
"03bfc80b-984b-42f0-b641-0d7e2fccfdf6","","H2X335M01005","heftruck_reachtruck","Linde","E20P-02","H2X335M01005","2001","1","0","available"
"2e647cd3-0c55-48dc-8d95-5ea361a48846","H2X336B00598","H2X336B00598-bl","batterij_lader","Tab","Traktie.5Pzs775","H2X336B00598","2011","1","0","available"
"6a21fdc5-cb1c-41af-a521-9aeaaf96dd4f","","H2X336B00598","heftruck_reachtruck","Linde","336-03 2.5 ton","H2X336B00598","2011","1","0","available"
"8444cb5e-ccda-4009-9189-3af1bac8b7ea","","H2X368G00084","heftruck_reachtruck","Linde","E45H-01/600","H2X368G00084","2016","1","0","available"
"bd7fffc0-646f-4eee-a62a-239ca24bedc6","H2X38608200","H2X38608200","batterij_lader","Hawker","5pzs","H2X38608200","2007","1","0","available"
"6974e243-a2ef-4041-b119-54bb6200ccaf","H2X386A00279","H2X386A00279","batterij_lader","Hoppecke","Traktie 6pzs760","H2X386A00279","2010","3","0","available"
"67f8bda0-233e-48a7-bd15-a677f4cfd3c7","","H2X386A07013","heftruck_reachtruck","Linde","E20PH-01","H2X386A07013","2010","1","0","available"
"3505458c-ad72-4e76-b739-19ff15ba23a1","H2x386E54937","H2x386E54937","batterij_lader","Tab /Sun","Traktie","140621","2014","1","0","available"
"9da2d785-7793-41f1-947f-1b801fd300f4","","H2X386G02342","heftruck_reachtruck","Linde","E20PL","H2X386G02342","2016","1","0","available"
"a3296a7f-1bdc-489a-a1ea-facd06481336","","H2X386G06325","heftruck_reachtruck","Linde","E18","H2X386G06325","2016","1","0","available"
"9a9b671c-f4c5-41ef-8ef8-be57130ef5c7","","H2X386H07885","heftruck_reachtruck","Linde","E20PH","H2X386H07885","2017","1","0","available"
"d0173125-ce00-4021-a445-e1fd598e9949","","H2X386W05233","heftruck_reachtruck","Linde","E16C","H2X386W05233","2008","2","0","available"
"784841e8-7824-44ef-b8bc-f351824687fd","H2X386X00126","H2X386X00126","batterij_lader","Batterij bv","Traktie 6pzs750","H2X386X00126","2020","1","0","available"
